Unit_ID,Call_No,AGENCY,CALL_TYPE_FINAL,OrigUnit,UNIT_enroute_DATE,PRIORITY,DISPOSITION,PRIMARY_UNIT,BEAT,REP_DIST,CALL_CREATED_TIME,CALL_ENTRY_DATE,CALL_ENTRY_TIME,UNIT_DISPATCH_DATE,UNIT_DISPATCH_TIME,UNIT_ENROUTE_TIME,UNIT_ONSCENE_DATE,UNIT_ONSCENE_TIME,TS_UNIT_TURNOUT,Call#,Call_No2,ArrivalStatus,RptCategory,TurnoutCompliance,BattalionName,Unit Type
EN017,S100000083,PCFR,26C02,EN017,2/9/26 0:00,C1,,MR017,17,F17A,101623,2/9/26 0:00,101715,2/9/26 0:00,101746,101835,,,49,S100000083,S100000083,DNA,EMS,Met,Battalion 4,Engine
EN020,S100000084,PCFR,52,EN020,2/9/26 0:00,PA,COM,HCEN2,38,F38A,80254,2/9/26 0:00,80316,2/9/26 0:00,80416,80445,,,29,S100000084,S100000084,DNA,Fire,Met,Battalion 2,Engine
EN028,S100000085,PCFR,26D01,EN028,2/9/26 0:00,D1,,MR028,28,F28F,100425,2/9/26 0:00,100444,2/9/26 0:00,100525,100538,,,13,S100000085,S100000085,DNA,EMS,Met,Battalion 3,Engine
EN033,S100000086,PCFR,25,EN033,2/9/26 0:00,PA,COM,MR020,33N,F33C,95206,2/9/26 0:00,95254,2/9/26 0:00,95335,95354,,,19,S100000086,S100000086,DNA,EMS,Met,Battalion 2,Engine
EN033,S100000087,PCFR,29D02P,EN033,2/9/26 0:00,D1,COM,MR020,33N,F33A,93314,2/9/26 0:00,93412,2/9/26 0:00,93757,93807,,,10,S100000087,S100000087,DNA,EMS,Met,Battalion 2,Engine
EN036,S100000088,PCFR,68C01,EN036,2/9/26 0:00,C1,UTL,EN005,16,F560G,105656,2/9/26 0:00,105722,2/9/26 0:00,110243,110246,,,3,S100000088,S100000088,DNA,Fire,Met,Battalion 2,Engine
EN038,S100000089,PCFR,29D02P,EN038,2/9/26 0:00,D1,COM,MR020,33N,F33A,93314,2/9/26 0:00,93412,2/9/26 0:00,93554,93643,,,49,S100000089,S100000089,DNA,EMS,Met,Battalion 2,Engine
HV009,S100000090,PCFR,60B03O,HV009,2/9/26 0:00,B1,COM,EN002,2,F02A,90007,2/9/26 0:00,90029,2/9/26 0:00,90100,90116,,,16,S100000090,S100000090,DNA,Fire,Met,Battalion 3,Special Operations
LD015,S100000091,PCFR,29,LD015,,PA,COM,MR015,15,F15B,92923,2/9/26 0:00,93035,2/9/26 0:00,93105,,,,,S100000091,S100000091,,EMS,Met,Battalion 6,Special Operations
LD023,S100000092,PCFR,25,LD023,2/9/26 0:00,PA,COM,MR006,23,F23D,91409,2/9/26 0:00,91409,2/9/26 0:00,91517,91541,,,24,S100000092,S100000092,DNA,EMS,Met,Battalion 1,Ladder
LD023,S100000093,PCFR,10C03,LD023,2/9/26 0:00,C1,COM,MD022,23,F23D,84446,2/9/26 0:00,84508,2/9/26 0:00,84543,84650,,,67,S100000093,S100000093,DNA,EMS,Missed,Battalion 1,Ladder
MD222,S100000094,PCFR,25,MD222,2/9/26 0:00,PA,COM,MD222,7,F07D,101204,2/9/26 0:00,101204,2/9/26 0:00,101241,101246,,,5,S100000094,S100000094,DNA,EMS,Met,Battalion 1,Rescue
MR005,S100000095,PCFR,17A04G,MR005,2/9/26 0:00,A1,COM,MR005,5,F05C,100734,2/9/26 0:00,100749,2/9/26 0:00,100816,100855,,,39,S100000095,S100000095,DNA,EMS,Met,Battalion 4,Rescue
MR006,S100000096,PCFR,25,MR006,2/9/26 0:00,PA,COM,MR006,23,F23D,91409,2/9/26 0:00,91409,2/9/26 0:00,91517,91556,,,39,S100000096,S100000096,DNA,EMS,Met,Battalion 1,Rescue
MR010,S100000097,PCFR,21A01T,MR010,2/9/26 0:00,A1,COM,MR010,10,F10B,91435,2/9/26 0:00,91457,2/9/26 0:00,91536,91607,,,31,S100000097,S100000097,DNA,EMS,Met,Battalion 6,Rescue
MR015,S100000098,PCFR,26O07,MR015,2/9/26 0:00,O1,,MR015,8,F02E,111221,2/9/26 0:00,111244,2/9/26 0:00,111306,111357,,,51,S100000098,S100000098,DNA,EMS,Met,Battalion 6,Rescue
MR020,S100000099,PCFR,25,MR020,2/9/26 0:00,PA,COM,MR020,33N,F33C,95206,2/9/26 0:00,95254,2/9/26 0:00,95335,95337,,,2,S100000099,S100000099,DNA,EMS,Met,Battalion 2,Rescue
MR020,S100000100,PCFR,29D02P,MR020,2/9/26 0:00,D1,COM,MR020,33N,F33A,93314,2/9/26 0:00,93412,2/9/26 0:00,93554,93557,,,3,S100000100,S100000100,DNA,EMS,Met,Battalion 2,Rescue
MR028,S100000101,PCFR,17A04,MR028,2/9/26 0:00,A1,COM,MR028,28,F34G,90917,2/9/26 0:00,90942,2/9/26 0:00,91033,91038,,,5,S100000101,S100000101,DNA,EMS,Met,Battalion 3,Rescue
SQ007,S100000102,PCFR,25,SQ007,2/9/26 0:00,PA,COM,MD222,7,F07D,101204,2/9/26 0:00,101204,2/9/26 0:00,101241,101320,,,39,S100000102,S100000102,DNA,EMS,Met,Battalion 2,Special Operations
TW033,S100000103,PCFR,56A01,TW033,2/9/26 0:00,A1,COM,LD042,42N,F33B,81614,2/9/26 0:00,81635,2/9/26 0:00,81853,81859,,,6,S100000103,S100000103,DNA,Fire,Met,Battalion 2,Special Operations
